N,P,K,temperature,humidity,ph,rainfall
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857
40,22,6,24.53610067,91.90997228,6.488221135,115.9787989
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496
10,5,5,21.21306973,91.35349216,7.817846496,112.9834361
