year,yield_kg_ha,avg_temp_c,annual_rainfall_mm
1981,1937.5,25.759616438356165,1506.65
1982,1997.9,25.86408219178082,1401.22
1983,2205.6,26.40715068493151,997.86
1984,2134.6,25.774781420765027,1459.14
1985,2148.5,26.358246575342466,1120.34
1986,2146.6,26.093397260273974,1398.02
1987,2202.1,26.302958904109587,1204.14
1988,2235.8,26.532021857923496,1405.16
1989,2500.3,26.47386301369863,837.74
1990,2490.6,26.464246575342468,1071.25
1991,2555.8,26.50021917808219,1158.32
1992,2659.6,26.698497267759564,699.99
1993,2653.1,26.245397260273972,1283.64
1994,2541.0,26.78767123287671,812.6899999999999
1995,2530.4,26.436931506849312,1160.23
1996,2687.1,26.48912568306011,1040.09
1997,2628.8,25.65750684931507,1589.92
1998,2707.9,25.498547945205477,2014.36
1999,3104.9,25.872958904109588,1700.6
2000,3302.2,25.157158469945358,1866.39
2001,3352.6,25.374219178082193,1914.03
2002,3374.0,25.52191780821918,1861.72
2003,3479.8,25.420739726027396,1640.41
2004,3439.4,25.475792349726774,2056.9
2005,3663.6,25.657561643835617,1899.46
2006,3710.5,25.738082191780823,1697.72
2007,3783.1,25.134520547945208,2554.86
2008,4154.3,25.443907103825136,1604.27
2009,4126.4,25.830383561643835,1906.64
2010,4262.6,25.854849315068495,1827.0
2011,4367.1,25.48832876712329,1697.03
2012,4396.5,25.441748633879783,1508.0
2013,4492.1,25.484712328767124,1829.22
2014,4558.8,25.994684931506846,1686.91
2015,4588.2,25.86572602739726,2250.43
2016,4624.0,26.19243169398907,2912.76
2017,4684.5,25.238082191780823,4914.96
2018,4778.5,25.065123287671234,2797.86
2019,4855.4,25.667287671232874,3000.17
2020,4885.9,25.111666666666668,2923.72
2021,4964.4,25.68591780821918,2323.2
2022,5089.7,25.359041095890408,2140.18
2023,5320.9,25.82484931506849,2547.82
2024,5408.0,25.528306010928965,3053.74
